seq,timestamp,event_type,raw_ordtype,order_id,side,qty,price,qty_down,accepted,pre_leaves_qty,post_leaves_qty,post_active,traded_qty,rested_qty,reason
0,2019-05-23T09:00:31.127000,new,new,591,sell,6907,4.0265,,True,,6907,True,0,6907,
1,2019-05-23T09:00:31.127000,new,new,592,sell,4000,4.0275,,True,,4000,True,0,4000,
2,2019-05-23T09:00:31.127000,new,new,593,sell,6907,4.0285,,True,,6907,True,0,6907,
3,2019-05-23T09:00:31.127000,new,new,594,sell,12992,4.031,,True,,12992,True,0,12992,
4,2019-05-23T09:00:31.127000,new,new,595,sell,72965,4.034,,True,,72965,True,0,72965,
5,2019-05-23T09:00:31.127000,new,new,596,sell,16625,4.0365,,True,,16625,True,0,16625,
6,2019-05-23T09:00:31.127000,new,new,597,sell,999,4.039,,True,,999,True,0,999,
7,2019-05-23T09:00:31.127000,new,new,598,sell,32265,4.04,,True,,32265,True,0,32265,
8,2019-05-23T09:00:31.127000,new,new,599,sell,13442,4.041,,True,,13442,True,0,13442,
9,2019-05-23T09:00:31.127000,new,new,600,sell,15550,4.045,,True,,15550,True,0,15550,
10,2019-05-23T09:00:31.127000,new,new,601,buy,12682,4.0255,,True,,12682,True,0,12682,
11,2019-05-23T09:00:31.127000,new,new,602,buy,6896,4.025,,True,,6896,True,0,6896,
12,2019-05-23T09:00:31.127000,new,new,603,buy,2500,4.024,,True,,2500,True,0,2500,
13,2019-05-23T09:00:31.127000,new,new,604,buy,1355,4.023,,True,,1355,True,0,1355,
14,2019-05-23T09:00:31.127000,new,new,605,buy,17850,4.021,,True,,17850,True,0,17850,
15,2019-05-23T09:00:31.127000,new,new,606,buy,7000,4.0205,,True,,7000,True,0,7000,
16,2019-05-23T09:00:31.127000,new,new,607,buy,104505,4.02,,True,,104505,True,0,104505,
17,2019-05-23T09:00:31.127000,new,new,608,buy,248,4.019,,True,,248,True,0,248,
18,2019-05-23T09:00:31.127000,new,new,609,buy,5000,4.017,,True,,5000,True,0,5000,
19,2019-05-23T09:00:31.127000,new,new,610,buy,60,4.016,,True,,60,True,0,60,
20,2019-05-23T09:00:31.127000,cancel,cancel,601,buy,,,,True,12682,0,False,0,,
21,2019-05-23T09:00:31.127000,new,new,611,buy,27950,4.015,,True,,27950,True,0,27950,
22,2019-05-23T09:00:31.136000,cancel,cancel,600,sell,,,,True,15550,0,False,0,,
23,2019-05-23T09:00:31.136000,new,new,612,sell,12682,4.0255,,True,,12682,True,0,12682,
24,2019-05-23T09:00:31.136000,new,new,613,sell,2485,4.025,,True,,0,False,2485,0,
25,2019-05-23T09:00:31.136000,new,new,614,sell,223,4.025,,True,,0,False,223,0,
26,2019-05-23T09:00:31.136000,new,new,615,sell,50,4.025,,True,,0,False,50,0,
27,2019-05-23T09:00:31.136000,new,new,616,sell,500,4.025,,True,,0,False,500,0,
28,2019-05-23T09:00:31.138000,new,new,617,sell,750,4.025,,True,,0,False,750,0,
29,2019-05-23T09:00:31.138000,new,new,618,sell,2481,4.025,,True,,0,False,2481,0,
30,2019-05-23T09:00:31.138000,new,new,619,sell,407,4.025,,True,,0,False,407,0,
31,2019-05-23T09:00:31.138000,new,new,620,sell,2500,4.024,,True,,0,False,2500,0,
32,2019-05-23T09:00:31.138000,new,new,621,buy,500,4.013,,True,,500,True,0,500,
33,2019-05-23T09:00:31.138000,new,new,622,buy,8300,4.012,,True,,8300,True,0,8300,
34,2019-05-23T09:00:31.138000,cancel,cancel,599,sell,,,,True,13442,0,False,0,,
35,2019-05-23T09:00:31.138000,new,new,623,sell,2500,4.028,,True,,2500,True,0,2500,
36,2019-05-23T09:00:31.138000,cancel,cancel,622,buy,,,,True,8300,0,False,0,,
37,2019-05-23T09:00:31.138000,new,new,624,buy,2500,4.0215,,True,,2500,True,0,2500,
38,2019-05-23T09:00:31.138000,cancel,cancel,621,buy,,,,True,500,0,False,0,,
39,2019-05-23T09:00:31.138000,new,new,625,buy,2500,4.0195,,True,,2500,True,0,2500,
